category,top_keys
意外事故,"[('詹智超', 4), ('李世宸', 4), ('陸配亞亞', 3), ('劉翁', 2), ('蔡旻妤', 2), ('趙駿亞', 2), ('葉慶元', 2), ('吳俊德', 2), ('周秉瑜', 2), ('吳泰旻', 2), ('ALee', 1), ('科爾努', 1), ('bastien Lecornu', 1), ('楊弘亮', 1), ('林耿郁', 1), ('柯文哲', 1), ('劉家傑', 1), ('胡嘉哲', 1), ('徐陳揚', 1), (' f', 1), ('吳泊萱', 1), ('陳姓', 1), ('顏一軒', 1), ('黃靜宜', 1), ('蕭長青', 1), ('蔡尚晉', 1), ('西瓜', 1), ('科爾', 1), ('布里', 1), ('李映儒', 1), ('張嘉郡', 1), ('陳駿', 1), ('吳婉君', 1), ('汪淑芬', 1), ('李亨山', 1), ('陳弘逸', 1), ('劉振亞', 1), ('劉世芳', 1), ('陳培哲', 1), ('賴清德', 1)]"
突發事故,"[('金秀賢', 10), ('陳菁徽', 7), ('陳其邁', 7), ('尤瑞敏', 7), ('賴清德', 7), ('蔡學良', 5), ('李正偉', 4), ('金秀', 3), ('吳文欽', 2), ('邱臣遠', 2), ('鼠寶寶', 2), ('陳妍萩', 2), ('門多薩', 2), ('莊淇', 1), ('黃子佼復', 1), ('文哲 ', 1), ('李映儒', 1), ('張嘉郡', 1), ('陳駿', 1), ('洪承恩', 1), ('趙記明', 1), ('白眼郎', 1), ('張正量', 1), ('蘇百川', 1), ('簡吉聰', 1), ('齊麟', 1), ('趙駿亞', 1), ('吳婉君', 1), ('恩馨', 1), ('葉慶元', 1), ('邱璽臣', 1), ('黃國昌', 1), ('微博', 1), ('金賽綸', 1), ('韓星金秀賢', 1), ('櫻花季', 1), ('秦穎', 1), ('川普', 1), ('羅欣怡', 1), ('游智彬', 1), ('賴麗敏', 1), ('賴麗', 1), ('雨揚', 1), ('兔寶寶', 1), ('千萬', 1), ('玉山', 1), ('許淑華', 1), ('林參天', 1), ('陳弘逸', 1), ('周杰倫', 1), ('秦穎雯', 1), ('希斯洛', 1), ('蕭美琴', 1), ('王毅', 1), ('趙兌烈', 1), ('高珞曦', 1), ('王慶源', 1), ('林育信', 1), ('吳姓媽媽', 1), ('曾奕語', 1)]"
車禍事故,"[('蔣萬安', 49), ('李四川', 22), ('陳世凱', 6), ('陳學台', 4), ('余男', 3), ('林奕華', 2), ('劉冠頡', 2), ('陸瓊娟', 2), ('劉千祥', 2), ('盧逸峰', 2), ('基努李維', 2), ('hea', 2), ('Chea', 2), ('亞亞', 2), ('陳其邁', 2), ('邱臣遠', 2), ('Cheap', 2), ('鄭麗淑', 2), ('陳佳侖', 2), ('嚴凱', 2), ('林禾', 1), ('顏一軒', 1), ('蔣萬', 1), ('冠頡', 1), ('牛寶寶一鳴', 1), ('吳男', 1), ('陸配亞亞', 1), ('李明賢', 1), ('簡舒培', 1), ('蔣萬安藉', 1), ('王惠美', 1), ('李明融', 1), ('李維', 1), ('呂秋遠', 1), ('詹詠淇', 1), ('李美妍', 1), ('劉世芳', 1), ('金秀賢', 1), ('邱璽臣', 1), ('黃國昌', 1), ('楊弘亮', 1), ('陳煜彬', 1), ('謝睿騰', 1), ('陳建龍', 1), ('張森維', 1), ('盧永賢', 1), ('謝銘鴻', 1), ('張建華', 1), ('王閔生', 1), ('張志豪', 1), ('常華珍', 1), ('百億', 1), ('蔣萬安今', 1), ('7岔路口', 1), ('孫明德', 1), ('今布達 盧秀燕', 1), ('新卓榮泰', 1), ('宋紹誠', 1), ('李健興', 1), ('疏忽里務1】', 1), ('許智傑', 1), ('李昆澤', 1), ('何淑萍', 1), ('柯男', 1), ('楊思瑞台', 1), ('楊思瑞', 1)]"
國道車禍,"[('琳妲', 22), ('郝廣民', 8), ('劉彥池', 5), ('Cheap', 4), ('麥可', 4), ('楊梅', 3), ('鍾兆寬', 2), ('Chea', 2), ('施寶文', 2), ('樂天', 2), ('斗南', 1), ('吳婉君', 1), ('趙駿', 1), ('Yuki', 1), ('舒馬克', 1), ('賈永婕', 1), ('曾婦', 1), ('徐郁惇', 1), ('彭清仁', 1), ('洪承恩', 1), ('東森', 1), ('洪正達', 1), ('陳男', 1), ('秦穎雯', 1), ('高世川', 1), ('耀文', 1), ('凱蒂', 1), ('李丹妃', 1), ('何冠毅', 1), ('吳明達', 1), ('盧逸峰', 1), ('聰明用', 1), ('張瑋珊', 1), ('林羿禎', 1), ('哈琳妲', 1), ('自琳妲', 1), ('馬上冰敷', 1), ('Andy', 1), ('ndy', 1)]"
重大車禍事故,"[('劉男', 10), ('琳妲', 5), ('周男', 3), ('Alcala', 3), ('賴清德', 3), ('顏一軒', 2), ('黃彥翔', 2), ('蕭姓', 2), ('鄭男', 2), ('陳男', 2), ('武 ', 2), ('王大陸', 2), ('郭雅慧', 2), ('阿雷巴', 2), ('許男', 2), ('米克斯', 1), ('林羿禎', 1), (' 琳', 1), ('楊麗菁', 1), ('官有紘', 1), ('阿祐', 1), ('林盈君', 1), ('吳欣盈', 1), ('東森', 1), ('西比 ', 1), ('ngwe', 1), ('克里西 ', 1), ('北市萬華', 1), ('許智超', 1), ('pixabay', 1), ('李彥秀', 1), ('文章', 1), ('劉喬安', 1), ('李男', 1), ('旁五金行', 1), ('達志', 1), ('Wallner', 1), ('簡榮良', 1), ('陳聖X', 1), ('岱樺', 1), ('千千', 1), ('川普', 1), ('汪洋航', 1), ('艾爾頓', 1), ('游明哲', 1), ('柯文哲爆', 1), ('呂彥', 1), ('金賽綸', 1), ('湯朝村', 1)]"
旅遊事故,"[('澤東', 13), ('賴清德', 11), ('蔣萬安', 10), ('黃信川', 4), ('黃文卿', 3), ('郭哲維', 3), ('郭哲', 3), ('蔡旻妤', 2), ('李育道', 2), ('pixabay', 2), ('洪書', 1), ('彭姿穎', 1), ('榮格朗吉特', 1), ('陳韋如', 1), ('楊梅端', 1), ('清德', 1), ('柯文哲', 1), ('朱立倫', 1), ('薛化元', 1), ('楊文琪', 1), ('卓榮泰', 1), ('林濁水', 1), ('柯美儀', 1), ('304號', 1), ('孫易磊', 1), ('梁文傑', 1), ('蕭博', 1), ('柯牧洲', 1), ('吳盈良', 1), ('蔡宛樺', 1), ('布恩楚', 1), ('盧逸峰', 1), ('劉振亞', 1), ('矢板明夫', 1), ('許智超', 1), ('川普', 1), ('瓦爾', 1), (' 澤東', 1), ('郭懿慧 ', 1), ('馬來西亞怡', 1), ('▲ ', 1), ('郭懿慧 攝', 1), ('王世堅', 1), ('潘靚緯', 1), ('吳孟珉', 1), ('台南', 1), ('黃偉哲', 1), ('林雪娟攝', 1), ('吳德榮', 1), ('林岳雨', 1), ('賴澄宇', 1)]"
工安意外,"[('詹智超', 6), ('郝廣民', 2), ('趙麗妍', 2), ('郝雪卿', 2), ('盧萍珊', 1), ('林昱孜', 1), ('劉家傑', 1), ('周男', 1), ('柯文哲', 1), ('官有紘', 1), ('劉振南', 1), ('吳泊萱', 1), ('陳姓', 1), ('潘靚緯', 1), ('賴清美', 1), ('李嘉誠', 1), ('李依璇', 1), ('恩綺', 1), ('顏一軒', 1), ('黃靜宜', 1)]"
北市事故,"[('蔣萬安', 4), ('黃偉哲', 4), ('巴龍祥', 3), ('吳山連陞', 2), ('蔡三保', 2), ('張舜南', 2), ('李瑞泰', 2), ('陳正揚', 2), ('許卜仁', 2), ('陳偉仁', 2), ('陳惠敏陞', 2), ('廖洛育陞', 2), ('蔡漢政', 2), ('袁雲澂', 2), ('鄭文學', 2), ('陳重仁', 2), ('周維強', 2), ('黃琦鈞', 2), ('劉居榮', 2), ('謝昆材', 2), ('許文鋒', 2), ('陳志峯', 2), ('于長豪', 2), ('張育豪', 2), ('蔡瑞騰', 2), ('陳瑞明', 2), ('吳博誠', 2), ('張恆睿', 2), ('崔企英', 2), ('林鼎淵', 2), ('陳泓瑜', 2), ('顏三隆', 2), ('許竣閔', 2), ('李新民', 2), ('陳良勇', 2), ('王明祝', 2), ('簡世珪', 2), ('游志文', 2), ('蔡佳瑜', 2), ('陳岳宏', 2), ('林惠山', 2), ('吳思怡陞', 2), ('張駿緯陞', 2), ('呂倩玉陞', 2), ('蔡佩穎', 2), ('張林傑陞', 2), ('朱智揚', 2), ('廖健翔', 2), ('呂凱揚', 2), ('陳玠齊', 2), ('王雅亭', 2), ('謝睿騰', 2), ('汪鳳儀', 2), ('鄭大川', 2), ('吳佰餘', 2), ('馮茵', 1), ('林崇志', 1), ('林佳毅', 1), ('余永廉陞', 1), ('郭大恆', 1), ('江勛', 1), ('呂政國', 1), ('林聖章', 1), ('陳佳緯陞', 1), ('\xa016', 1), ('李秉蒼', 1), ('鄭榮安', 1), ('李孟驊', 1), ('蔡致然', 1), ('崧騰', 1), ('陳俊誠', 1), ('茹向弘', 1), ('呂鴻裕', 1), ('蔡鎮群', 1), ('王美惠', 1), ('謝和軒', 1), ('陳盈宇', 1), ('張珮資陞', 1), ('陳志翔', 1), ('呂育陞', 1), ('陳禾明', 1), ('林睿哲陞', 1), ('黃英洲陞', 1), ('李昌祐', 1), ('李西河', 1), ('余永廉', 1), ('陳佳緯', 1), ('高李孟驊', 1), ('蔡致然陞', 1), ('徐崧騰', 1), ('周永健', 1), ('長孟繁勳', 1), ('江增健', 1), ('詹樹雄', 1), ('張珮資', 1), ('陳禾明陞', 1), ('黃庭芳陞', 1), ('林睿哲', 1), ('黃英洲', 1), ('何彥', 1), ('李千娜', 1), ('卓榮泰', 1), ('盧秀燕', 1), ('彭岑凱', 1), ('黃國昌', 1), ('陳慈', 1), ('南投', 1)]"
全部,"[('蔣萬安', 63), ('琳妲', 27), ('賴清德', 22), ('李四川', 22), ('澤東', 13), ('金秀賢', 11), ('詹智超', 10), ('郝廣民', 10), ('劉男', 10), ('陳其邁', 9), ('陳菁徽', 7), ('尤瑞敏', 7), ('Cheap', 6), ('陳世凱', 6), ('顏一軒', 5), ('蔡學良', 5), ('劉彥池', 5), ('黃偉哲', 5), ('蔡旻妤', 4), ('陸配亞亞', 4), ('李世宸', 4), ('邱臣遠', 4), ('李正偉', 4), ('陳學台', 4), ('盧逸峰', 4), ('Chea', 4), ('麥可', 4), ('周男', 4), ('黃信川', 4), ('柯文哲', 3), ('吳婉君', 3), ('趙駿亞', 3), ('葉慶元', 3), ('黃國昌', 3), ('金秀', 3), ('川普', 3), ('謝睿騰', 3), ('余男', 3), ('楊梅', 3), ('陳男', 3), ('pixabay', 3), ('Alcala', 3), ('黃文卿', 3), ('郭哲維', 3), ('郭哲', 3), ('巴龍祥', 3), ('劉翁', 2), ('楊弘亮', 2), ('劉家傑', 2), ('吳泊萱', 2), ('陳姓', 2), ('黃靜宜', 2), ('李映儒', 2), ('張嘉郡', 2), ('陳駿', 2), ('陳弘逸', 2), ('劉振亞', 2), ('劉世芳', 2), ('吳俊德', 2), ('周秉瑜', 2), ('吳泰旻', 2), ('洪承恩', 2), ('吳文欽', 2), ('邱璽臣', 2), ('金賽綸', 2), ('鼠寶寶', 2), ('陳妍萩', 2), ('秦穎雯', 2), ('門多薩', 2), ('林奕華', 2), ('劉冠頡', 2), ('陸瓊娟', 2), ('劉千祥', 2), ('基努李維', 2), ('hea', 2), ('亞亞', 2), ('鄭麗淑', 2), ('陳佳侖', 2), ('嚴凱', 2), ('鍾兆寬', 2), ('施寶文', 2), ('東森', 2), ('樂天', 2), ('林羿禎', 2), ('黃彥翔', 2), ('蕭姓', 2), ('鄭男', 2), ('官有紘', 2), ('武 ', 2), ('許智超', 2), ('王大陸', 2), ('郭雅慧', 2), ('阿雷巴', 2), ('許男', 2), ('李育道', 2), ('卓榮泰', 2), ('潘靚緯', 2), ('趙麗妍', 2), ('郝雪卿', 2), ('吳山連陞', 2), ('蔡三保', 2), ('張舜南', 2), ('李瑞泰', 2), ('陳正揚', 2), ('許卜仁', 2), ('陳偉仁', 2), ('陳惠敏陞', 2), ('廖洛育陞', 2), ('蔡漢政', 2), ('袁雲澂', 2), ('鄭文學', 2), ('陳重仁', 2), ('周維強', 2), ('黃琦鈞', 2), ('劉居榮', 2), ('謝昆材', 2), ('許文鋒', 2), ('陳志峯', 2), ('于長豪', 2), ('張育豪', 2), ('蔡瑞騰', 2), ('陳瑞明', 2), ('吳博誠', 2), ('張恆睿', 2), ('崔企英', 2), ('林鼎淵', 2), ('陳泓瑜', 2), ('顏三隆', 2), ('許竣閔', 2), ('李新民', 2), ('陳良勇', 2), ('王明祝', 2), ('簡世珪', 2), ('游志文', 2), ('蔡佳瑜', 2), ('陳岳宏', 2), ('林惠山', 2), ('吳思怡陞', 2), ('張駿緯陞', 2), ('呂倩玉陞', 2), ('蔡佩穎', 2), ('張林傑陞', 2), ('朱智揚', 2), ('廖健翔', 2), ('呂凱揚', 2), ('陳玠齊', 2), ('王雅亭', 2), ('汪鳳儀', 2), ('鄭大川', 2), ('吳佰餘', 2), ('ALee', 1), ('科爾努', 1), ('bastien Lecornu', 1), ('林耿郁', 1), ('胡嘉哲', 1), ('徐陳揚', 1), (' f', 1), ('蕭長青', 1), ('蔡尚晉', 1), ('西瓜', 1), ('科爾', 1), ('布里', 1), ('汪淑芬', 1), ('李亨山', 1), ('陳培哲', 1), ('莊淇', 1), ('黃子佼復', 1), ('文哲 ', 1), ('趙記明', 1), ('白眼郎', 1), ('張正量', 1), ('蘇百川', 1), ('簡吉聰', 1), ('齊麟', 1), ('恩馨', 1), ('微博', 1), ('韓星金秀賢', 1), ('櫻花季', 1), ('秦穎', 1), ('羅欣怡', 1), ('游智彬', 1), ('賴麗敏', 1), ('賴麗', 1), ('雨揚', 1), ('兔寶寶', 1), ('千萬', 1), ('玉山', 1), ('許淑華', 1), ('林參天', 1), ('周杰倫', 1), ('希斯洛', 1), ('蕭美琴', 1), ('王毅', 1), ('趙兌烈', 1), ('高珞曦', 1), ('王慶源', 1), ('林育信', 1), ('吳姓媽媽', 1), ('曾奕語', 1), ('林禾', 1)]"
