category,top_keys
意外事故,"[('事故', 1884), ('意外', 994), ('警方', 985), ('人員', 983), ('民眾', 962), ('現場', 926), ('醫院', 913), ('學生', 806), ('車禍', 724), ('新聞', 669), ('交通', 659), ('原因', 651), ('畫面', 598), ('車輛', 584), ('事件', 489), ('機車', 487), ('公司', 486), ('工程', 410), ('瓦斯', 389), ('台大', 387), ('騎士', 382), ('活動', 379), ('台灣', 377), ('鷹架', 376), ('男子', 373), ('乘客', 354), ('轎車', 354), ('家屬', 350), ('單位', 349), ('康橋', 348), ('記者', 343), ('生命', 341), ('時間', 332), ('狀況', 307), ('學校', 300), ('責任', 299), ('台中', 290), ('駕駛', 288), ('業者', 280), ('高雄', 277), ('國際', 274), ('中國', 269), ('作業', 259), ('貨車', 259), ('消防局', 250), ('問題', 249), ('保險', 240), ('美國', 239), ('工人', 239), ('車道', 235), ('台鐵', 221), ('政府', 219), ('機制', 219), ('國道', 217), ('單車', 216), ('旅客', 213), ('列車', 212), ('道路', 212), ('新聞網', 211), ('汽車', 210), ('工作', 208), ('台北', 204), ('路段', 201), ('員工', 201), ('社會', 194), ('中心', 189), ('女子', 188), ('廠商', 184), ('日本', 184), ('意識', 184), ('捷運', 181), ('附近', 174), ('行人', 171), ('措施', 167), ('山域', 166), ('地點', 163), ('內政部', 162), ('資料', 161), ('國家', 161), ('文章', 159), ('小時', 156), ('台中市', 156), ('工地', 155), ('成年禮', 153), ('行為', 152), ('設備', 151), ('兒子', 151), ('台北市', 150), ('情況', 149), ('分局', 148), ('校方', 145), ('車隊', 145), ('警消', 143), ('機場', 143), ('飛機', 142), ('系統', 141), ('聲明', 140), ('賈永婕', 140), ('路口', 140), ('當地', 139)]"
突發事故,"[('事故', 535), ('交通', 277), ('民眾', 255), ('人員', 243), ('現場', 233), ('警方', 212), ('車輛', 194), ('狀況', 185), ('事件', 184), ('醫院', 166), ('台灣', 160), ('國道', 154), ('新聞', 153), ('公司', 147), ('活動', 146), ('金秀賢', 142), ('能力', 141), ('時間', 135), ('系統', 134), ('道路', 133), ('單位', 130), ('火災', 126), ('原因', 116), ('社會', 112), ('機車', 110), ('桃園', 104), ('政府', 103), ('保險', 103), ('記者', 99), ('環境', 98), ('金賽綸', 98), ('消防局', 95), ('小時', 95), ('意外', 93), ('情況', 93), ('高雄', 89), ('風險', 87), ('技術', 87), ('保障', 86), ('車道', 85), ('中心', 84), ('資訊', 83), ('畫面', 82), ('網路', 80), ('海洋', 80), ('市府', 79), ('訓練', 77), ('計畫', 76), ('問題', 76), ('車禍', 76), ('資源', 75), ('生活', 73), ('男子', 71), ('路段', 71), ('警察局', 71), ('作業', 69), ('生命', 69), ('範圍', 68), ('基隆', 68), ('措施', 67), ('家庭', 67), ('基金', 67), ('新聞網', 66), ('方案', 66), ('日本', 65), ('旅客', 65), ('方式', 63), ('工作', 62), ('機場', 61), ('當地', 61), ('汽車', 60), ('災害', 60), ('家屬', 60), ('台鐵', 59), ('智慧', 59), ('科技', 58), ('高公局', 58), ('行動', 58), ('海外', 58), ('中國', 57), ('機制', 56), ('國家', 56), ('全球', 55), ('國際', 54), ('分局', 54), ('地區', 54), ('同仁', 53), ('提案', 53), ('貨車', 52), ('危機', 52), ('美國', 52), ('機會', 52), ('駕駛', 51), ('需求', 51), ('課程', 50), ('責任', 50), ('媒體', 50), ('電網', 50), ('地震', 50), ('大學', 49)]"
車禍事故,"[('事故', 610), ('交通', 552), ('警方', 324), ('車禍', 315), ('車輛', 305), ('民眾', 239), ('現場', 226), ('路段', 213), ('機車', 198), ('原因', 189), ('道路', 159), ('貨車', 143), ('新聞', 134), ('人員', 132), ('行人', 126), ('畫面', 124), ('西班牙', 118), ('台中', 113), ('駕駛', 112), ('公車', 107), ('台中市', 107), ('公司', 101), ('騎士', 100), ('醫院', 98), ('男子', 92), ('車道', 90), ('市府', 89), ('記者', 87), ('路口', 84), ('台灣', 80), ('交通局', 80), ('汽車', 80), ('葡萄牙', 79), ('時間', 75), ('消防局', 75), ('轎車', 72), ('措施', 70), ('高雄', 70), ('乘客', 70), ('日本', 70), ('問題', 68), ('分局', 66), ('學生', 66), ('工程', 65), ('系統', 63), ('單位', 61), ('號誌', 61), ('小時', 59), ('規定', 59), ('狀況', 59), ('生命', 55), ('美國', 54), ('客運', 54), ('業者', 53), ('彰化', 52), ('沙鹿區', 52), ('地區', 51), ('政府', 51), ('活動', 51), ('司機', 51), ('傷者', 50), ('沙鹿', 50), ('煞車', 49), ('責任', 48), ('休旅車', 48), ('電力', 47), ('警察局', 47), ('馬路', 47), ('事件', 45), ('意識', 45), ('警消', 45), ('方向', 45), ('台61線', 44), ('新聞網', 44), ('向上路', 44), ('酒駕', 44), ('情況', 43), ('駕駛人', 43), ('上路', 43), ('附近', 43), ('下坡', 42), ('桃園', 41), ('中心', 41), ('中國', 41), ('意外', 41), ('計畫', 41), ('電網', 40), ('救護車', 40), ('北市', 40), ('婦人', 39), ('網友', 39), ('單車', 38), ('中央社', 37), ('高雄市', 37), ('國際', 36), ('環境', 36), ('列車', 35), ('捷運', 35), ('員警', 35), ('廠商', 35)]"
國道車禍,"[('車禍', 563), ('國道', 519), ('警方', 291), ('事故', 284), ('畫面', 234), ('車輛', 223), ('貨車', 214), ('原因', 203), ('男子', 196), ('轎車', 195), ('路段', 176), ('現場', 167), ('砂石車', 167), ('新聞', 163), ('車道', 162), ('機車', 152), ('人員', 144), ('駕駛', 124), ('騎士', 107), ('彰化', 104), ('民眾', 104), ('台中', 102), ('車頭', 90), ('道路', 84), ('乘客', 83), ('楊男', 82), ('交通', 82), ('老翁', 79), ('時間', 78), ('記者', 71), ('公路', 71), ('公車', 71), ('狀況', 69), ('醫院', 62), ('白色', 62), ('小時', 61), ('交流道', 60), ('公司', 58), ('女子', 56), ('新聞網', 55), ('高雄', 54), ('陳姓', 52), ('路肩', 51), ('消防局', 50), ('車體', 49), ('生命', 49), ('遊覽車', 49), ('車尾', 48), ('婦人', 46), ('警察', 45), ('糾紛', 45), ('司機', 43), ('汽車', 41), ('護欄', 41), ('三號', 39), ('台中市', 39), ('救護車', 38), ('3號', 38), ('大腿', 38), ('劇組', 38), ('楊姓', 38), ('女兒', 37), ('分局', 37), ('意外', 37), ('台灣', 37), ('沖繩', 37), ('分隊', 37), ('事件', 36), ('路口', 36), ('阿伯', 36), ('車主', 36), ('駕駛員', 36), ('警消', 35), ('重機', 35), ('客車', 34), ('苗栗', 34), ('服務區', 34), ('附近', 33), ('意識', 33), ('跡象', 33), ('酒駕', 32), ('屏東', 32), ('頭部', 32), ('規定', 32), ('車子', 32), ('南投', 32), ('一號', 31), ('家屬', 31), ('當地', 31), ('員警', 31), ('中心', 31), ('東森', 31), ('行為', 31), ('三立', 30), ('大隊', 30), ('情況', 30), ('民視', 30), ('器材', 28), ('時候', 28), ('匝道', 28)]"
重大車禍事故,"[('車禍', 519), ('學生', 411), ('事故', 376), ('警方', 238), ('康橋', 227), ('現場', 225), ('畫面', 155), ('車輛', 151), ('學校', 147), ('原因', 143), ('醫院', 136), ('新聞', 134), ('路段', 131), ('交通', 120), ('單車', 119), ('人員', 113), ('國道', 107), ('貨車', 96), ('男子', 95), ('國際', 95), ('車道', 90), ('賈永婕', 87), ('機車', 86), ('轎車', 81), ('活動', 81), ('民眾', 79), ('車隊', 76), ('駕駛', 73), ('成年禮', 71), ('台中', 69), ('台中市', 68), ('道路', 68), ('校方', 67), ('狀況', 67), ('彰化', 63), ('指數', 63), ('生命', 56), ('騎士', 54), ('消防局', 54), ('兒子', 53), ('汽車', 52), ('高雄', 51), ('彰化縣', 49), ('分局', 48), ('記者', 47), ('傷勢', 46), ('蕭男', 46), ('家屬', 44), ('蕭姓', 44), ('行程', 43), ('同學', 42), ('新聞網', 41), ('意識', 41), ('校區', 41), ('傷者', 40), ('乘客', 39), ('顏姓', 39), ('沙鹿區', 37), ('病房', 37), ('救護車', 37), ('砂石車', 36), ('消息', 35), ('向上路', 35), ('公路', 35), ('意外', 34), ('單位', 34), ('遊覽車', 34), ('情況', 33), ('路線', 33), ('家長', 33), ('公司', 33), ('時間', 32), ('水泥', 32), ('酒駕', 32), ('事件', 32), ('頭部', 32), ('沙鹿', 31), ('媒體', 31), ('路口', 31), ('陳男', 31), ('警消', 30), ('少年', 30), ('規定', 30), ('秀岡', 30), ('東西', 30), ('台61線', 29), ('埤頭鄉', 29), ('全體', 29), ('三段', 28), ('公車', 27), ('女兒', 27), ('屏東', 27), ('毒品', 27), ('跡象', 26), ('女子', 26), ('曳引車', 26), ('台北', 26), ('車頭', 26), ('台灣', 26), ('下坡', 25)]"
旅遊事故,"[('事故', 243), ('交通', 108), ('學生', 87), ('日本', 86), ('旅客', 84), ('公司', 81), ('台灣', 77), ('車禍', 74), ('新聞', 73), ('民眾', 73), ('時間', 72), ('郵輪', 71), ('車輛', 70), ('遊客', 61), ('事件', 60), ('保險', 59), ('遊覽車', 58), ('政府', 57), ('當地', 47), ('國際', 46), ('人員', 45), ('原因', 44), ('小時', 43), ('地區', 42), ('醫院', 41), ('資訊', 41), ('行程', 40), ('駕駛員', 40), ('交通部', 39), ('自行車', 39), ('現場', 38), ('警方', 38), ('美國', 37), ('業者', 36), ('乘客', 36), ('巴士', 36), ('措施', 36), ('沖繩', 34), ('狀況', 33), ('國人', 33), ('塞爾維亞', 32), ('泰國', 32), ('護照', 31), ('情況', 30), ('電話', 30), ('海外', 30), ('意外', 29), ('環境', 29), ('學校', 29), ('問題', 28), ('運安會', 28), ('中國', 28), ('駕駛', 27), ('國家', 27), ('韓國', 27), ('國道', 26), ('畫面', 26), ('活動', 26), ('單車', 25), ('費用', 25), ('消基會', 25), ('康橋', 24), ('車道', 24), ('附近', 23), ('資料', 23), ('路段', 23), ('社會', 23), ('急難', 23), ('規定', 22), ('台北', 22), ('記者', 22), ('觀光署', 22), ('地方', 22), ('消費者', 22), ('中心', 21), ('貨車', 21), ('外交部', 21), ('方案', 21), ('道路', 20), ('經濟', 20), ('汽車', 19), ('機車', 19), ('新竹', 19), ('生命', 19), ('保障', 19), ('期間', 19), ('文件', 19), ('屏東', 19), ('歌詩達', 19), ('報告', 18), ('影響', 18), ('新聞網', 18), ('責任', 18), ('外國', 18), ('單位', 18), ('地點', 18), ('機制', 18), ('司機', 17), ('家屬', 17), ('風險', 17)]"
工安意外,"[('醫院', 380), ('鷹架', 300), ('台大', 291), ('意外', 260), ('人員', 260), ('工程', 242), ('現場', 220), ('工人', 202), ('民眾', 174), ('工安', 163), ('事故', 163), ('廠商', 159), ('瓦斯', 157), ('公司', 155), ('作業', 145), ('責任', 145), ('畫面', 135), ('單位', 135), ('原因', 126), ('事件', 124), ('工地', 120), ('員工', 113), ('新聞', 108), ('高雄', 101), ('兄弟', 98), ('家屬', 90), ('記者', 90), ('沼氣', 90), ('台中', 86), ('台北市', 85), ('警方', 77), ('消防局', 76), ('北市', 73), ('大樓', 72), ('新聞網', 71), ('黃姓', 71), ('弟弟', 68), ('機制', 68), ('雲林縣', 67), ('食品', 67), ('勞檢處', 66), ('車輛', 66), ('雲林', 66), ('措施', 65), ('生命', 63), ('管線', 63), ('院方', 61), ('雨水', 58), ('市府', 53), ('時間', 51), ('問題', 51), ('台灣', 51), ('中心', 48), ('陽光', 48), ('哥哥', 47), ('轎車', 47), ('政府', 46), ('台北', 46), ('圍牆', 46), ('工廠', 46), ('警消', 45), ('台積電', 44), ('工作', 43), ('地檢署', 42), ('設備', 42), ('基金會', 42), ('斗六', 42), ('飯糰店', 42), ('罰鍰', 41), ('台電', 41), ('房東', 41), ('男子', 38), ('規定', 38), ('勞檢', 37), ('老闆', 37), ('承包商', 36), ('檢警', 36), ('教育', 36), ('勞工', 35), ('包商', 34), ('意識', 34), ('印尼籍', 34), ('制度', 34), ('蔣萬安', 33), ('建管處', 33), ('資料', 33), ('負責人', 32), ('斗六市', 32), ('地方', 32), ('中國', 31), ('三立', 31), ('雇主', 31), ('社會', 30), ('企業', 29), ('東址', 29), ('個案', 29), ('勞工局', 29), ('情況', 29), ('跡象', 29), ('店家', 29)]"
北市事故,"[('事故', 374), ('醫院', 252), ('北市', 206), ('公車', 205), ('警方', 187), ('台大', 172), ('鷹架', 159), ('新聞', 157), ('原因', 149), ('現場', 148), ('車輛', 144), ('台北市', 143), ('畫面', 139), ('車禍', 135), ('工程', 128), ('人員', 109), ('市府', 106), ('民眾', 98), ('責任', 94), ('交通', 93), ('廠商', 85), ('台北', 79), ('事件', 76), ('乘客', 76), ('學生', 73), ('轎車', 67), ('台中', 66), ('家屬', 66), ('單車', 65), ('公司', 64), ('路段', 64), ('問題', 63), ('單位', 61), ('措施', 59), ('彰化', 59), ('社宅', 59), ('住戶', 57), ('騎士', 57), ('工地', 56), ('記者', 55), ('機車', 55), ('機制', 53), ('台灣', 49), ('道路', 49), ('忠孝東路', 48), ('意外', 47), ('大安區', 47), ('三段', 47), ('男子', 46), ('狀況', 46), ('煞車', 46), ('新聞網', 45), ('消防局', 45), ('蔣萬安', 44), ('康橋', 44), ('作業', 43), ('駕駛', 43), ('美國', 42), ('客運', 42), ('屏東', 42), ('陳姓', 41), ('分局', 41), ('規定', 39), ('系統', 38), ('沙鹿', 37), ('貨車', 36), ('國際', 36), ('勞檢處', 36), ('車道', 36), ('時間', 35), ('工作', 35), ('小時', 35), ('議員', 34), ('社會', 34), ('身體', 34), ('日本', 34), ('警消', 34), ('中心', 33), ('洪婉臻', 33), ('瓦斯', 33), ('政府', 32), ('玻璃', 32), ('老婦', 32), ('圍牆', 32), ('市民', 31), ('地檢署', 31), ('國道', 31), ('文章', 30), ('中國', 30), ('北市府', 30), ('傷者', 30), ('資料', 29), ('院方', 28), ('捷運', 27), ('生命', 27), ('女子', 27), ('學校', 27), ('校方', 27), ('活動', 27), ('工安', 27)]"
全部,"[('事故', 4469), ('車禍', 2425), ('警方', 2352), ('現場', 2183), ('醫院', 2048), ('人員', 2029), ('民眾', 1984), ('交通', 1913), ('車輛', 1737), ('原因', 1621), ('新聞', 1591), ('意外', 1535), ('學生', 1526), ('畫面', 1493), ('公司', 1125), ('機車', 1120), ('國道', 1098), ('事件', 1046), ('工程', 941), ('男子', 926), ('路段', 893), ('台大', 892), ('轎車', 862), ('鷹架', 859), ('台灣', 857), ('貨車', 832), ('記者', 814), ('時間', 810), ('單位', 803), ('狀況', 794), ('台中', 783), ('騎士', 759), ('道路', 752), ('車道', 740), ('活動', 733), ('駕駛', 724), ('乘客', 706), ('責任', 704), ('康橋', 693), ('高雄', 683), ('生命', 679), ('家屬', 666), ('消防局', 660), ('公車', 614), ('瓦斯', 588), ('問題', 578), ('作業', 573), ('國際', 571), ('學校', 571), ('新聞網', 551), ('政府', 538), ('工人', 532), ('北市', 503), ('小時', 499), ('汽車', 497), ('日本', 495), ('單車', 493), ('廠商', 492), ('業者', 490), ('措施', 488), ('美國', 479), ('市府', 479), ('中心', 470), ('中國', 468), ('台北', 465), ('台北市', 451), ('台中市', 441), ('彰化', 441), ('機制', 439), ('社會', 438), ('保險', 436), ('系統', 431), ('分局', 431), ('情況', 429), ('意識', 416), ('工作', 412), ('員工', 400), ('旅客', 389), ('規定', 388), ('行人', 381), ('工地', 367), ('桃園', 365), ('附近', 356), ('台鐵', 354), ('環境', 354), ('警消', 353), ('女子', 351), ('行為', 336), ('當地', 335), ('地點', 330), ('路口', 329), ('文章', 328), ('資料', 323), ('計畫', 323), ('工安', 322), ('列車', 308), ('救護車', 308), ('校方', 296), ('國家', 293), ('車隊', 292)]"
